EcoFoodSystems Dashboard,,,,,This sheet serves as the MASTER LIST of all indicators proposed for the dashboard. It defines how indicators are organised within the dashboard structure.,,,,,,,,,,,,,,,
#,Affordable diets,Sustainable diets,Healthier diets,,Domain / Sub-theme,Indicator name,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Data accessibility (open/internal/restricted),Notes,Status,
24,,,x,Governance,Food Flows & Supply Chains,"Rice flow estimations from Vietnam regions to Hanoi, by rural and urban areas, in tons per year (2010-2022)",The estimated amount of rice consumed yearly in Hanoi (2010-2022),"Rice is the most important staple of the Vietnamese diet, and providing estimates of food flow quantities is valuable since there are no publicly available data or official estimations on internal food flows by cities like Hanoi.","Tonnes/year, (%)","Vietnam, Hanoi","General Statistics Office of Vietnam (GSO). (2023). Result of the Vietnam Household Living Standard Survey 2022. Social and Environmental Statistics Department, Statistical Publishing house. https://www.nso.gov.vn/en/default/2024/04/results-of-the-viet-nam-household-living-standards-survey-2022/
 
General Statistics Office of Vietnam (GSO). 2025. Average population by province, sex and residence. Consulted on: June 2025. Link: https://www.nso.gov.vn/en/population/
 
General Statistics Office of Vietnam (GSO). 2025. Production of paddy by province. Consulted on: June 2025. Link: https://www.nso.gov.vn/en/agriculture-forestry-and-fishery/
 
The Anh, D., Van Tinh, T., & Ngoc Vang, N. (2020). The Domestic Rice Value Chain in the Mekong Delta. In (pp. 375-395). Springer Nature Singapore. https://doi.org/10.1007/978-981-15-0998-8_18"," Trade attractiveness method, including two steps as follows: A) Estimation of Rice Net Supply (Consumption – Production) for every province, based on Consumption (Population * Consumption per person), and Production (Paddy production/Live weight/Raw production * Conversion rate). B) Distribute the rice consumption of Hanoi, considering: Province Production, National Production, and International Import.",2010 - 2022,TBD,"Based on estimations, depending on consumption trends ",Carlos Rodriguez,Open,,,
25,,,,Governance,"Labour, Skills & Green Jobs",In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,,,
26,,,,Governance,Behaviour Change Tools,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,,,
27,x,x,x,Environment,Sustainability Metrics,Sustainability metrics database,"Environmental, food security and nutrition, governance, and resilience compentes of the food system",It captured the city region food system overall sustinability statsu and pinpoint the gaps,In progress but it should be from 0 to 100 or 0 to 1,In progress,"Multiple (OSM, national and regional survey, satellite remote sensing, climate, and published reports)",,In progress,"It will combine data from different sources for different time periods. Thus, it is hard to define at the moment. In progress  ",Data avilability for all the indicators identifyed/listed,Yared Tessema,Open source survey and geospatial data ,Indicators are identified,Idenified/listed indicators are dispayed on the dashbaord,
28,,,,Environment,Food Losses & Waste,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,TBC,,,
29,,x,,Environment,Environmental Footprinting,Life cycle assessment of food items,,,,,,,,,,Shamilah Nassozi,,,,
30,,x,,Environment,Resilience,Agricultural climate resilience indicator,Agricultural climate resilience measures how well cropland vegetation maintains healthy vegetation condition during agricultural drought events.,Captures production regions most vulnerable to water balance deficits that would propagate to supply chain shocks.,Unitless (0-1) ,National (district scale),Internally produced from ERA5-Land and MODIS,Calculated using the vegetation condition index and the SPEI6 medium-term agricultural drought classification system to assess vegetation condition relative to drought severity.,2000-2025,Could generate new data monthly,Land cover classification accuracy of active cropland,Jemima O'Farrell,Internal,,,
31,,x,,Environment,Resilience,Water storage anomalies,Measures total terrestrial water storage (including groundwater and soil moisture) and detects seasonal anomalies ,Water availability is critical for planning agricultural intensification interventions as regions vulnerable to water shortages are less resilient to climate change.,mm ,National (district scale),Internally produced from GRACE/GRACE-FO mission,Calculated by removing the climatology and seasonality from the signal to reveal only anomalies from the usual seasonal water cycle.,2002-2026,Can only update when CSR updates ,Coarse resolution ,Jemima O'Farrell,Internal,,,
,,x,,,Resilience,Natural disasters database,Displays the frequency of natural disasters occuring at national scale retrieved from the EMDAT database of reports,Quantifies historical biophysical shock exposure ,Unitless ,National ,,,,,,,,,,
32,,x,,Environment,Resilience,Food price resilience indicator ,"A composite index measuring the resilience of urban food commodity price systems, combining two components: GARCH(1,1) volatility persistence (the proportion of a price shock that carries forward into the following month) and shock frequency (the proportion of months in which prices exceeded a crisis-level threshold, defined as the 95th percentile of the pooled cross-commodity absolute log-return distribution). Higher scores indicate greater resilience.","Urban food security in low-income cities is determined not only by whether food prices are high but by whether price shocks are transient or permanent. The UFPRI captures the structural self-stabilising capacity of city-region food markets, a dimension of fragility that household-level food security indicators do not measure. It enables cross-commodity comparison of price system resilience within the Addis Ababa food basket and supports evidence-based targeting of market infrastructure investment.","Unitless (0-1) Dimensionless composite score, normalised 0–1 within commodity group (0 = least resilient, 1 = most resilient)",City,"World Food Programme Vulnerability Analysis and Mapping (WFP VAM) database monthly wholesale food prices, 120 Ethiopian markets","GARCH(1,1) models estimated on monthly log-return series (rₜ = ln(Pₜ/Pₜ₋₁)) using an ARMA(1,1) mean equation via the rugarch package in R. Persistence component = 1 − (α₁ + β₁). Shock frequency component = 1 − (proportion of months exceeding 95th percentile cross-commodity threshold). Both components normalised to [0,1] within commodity group. UFPRI = arithmetic mean of the two normalised components.","For Ethiopia: 2000–2024 (cereals); 2014–2021 (pulses, thin coverage)",Monthly,Pulse UFPRI scores are preliminary due to short data windows (19–20 observations); shock frequency component is unreliable for pulses and driven entirely by persistence. Cereal and pulse scores are not directly comparable (normalised separately). ,Shamilah Nassozi,Open,,,
,,,,,Resilience,Land-use & Land-cover distribution,"Reduced to district level, this indicator shows the percentage area occupied by different land-cover categories, from aquaculture to urban",Land-cover identifies which areas are supported by urban/peri-urban production as a buffer to produce import shocks,%,City (district scale),JAXA,Area reducer applied to LULC masks,2020,,LULC product hasn't been updated since 2020,Jemima O'Farrell,Open ,,,
33,,,x,,Nutrition & Health,Prevalence of adult diabetes,"Proportion of adults aged 18 and older with diabetes. Diabetes is defined as having a fasting glucose of 7.0 mmol/L or higher, being on medication for raised blood glucose, or having a past diagnosis of diabetes. Estimates are age-standardized.","Adult diabetes reflects long-term exposure to unhealthy dietary patterns, particularly high consumption of refined carbohydrates, added sugars, and ultra-processed foods. It signals structural issues in the food system where nutritious diets are less accessible or affordable than energy-dense alternatives. This indicator is critical for assessing the role of food environments in driving diet-related non-communicable diseases (NCDs).",%,National & city,"STEPS survey, MoH",,2015-2021,5 years,Not available at province/city level,Ky Hoang,Open,,,
,,,x,,Nutrition & Health,Prevalence of adult hypertension,"Proportion of adults aged 18 and older with hypertension. Hypertention is defined as blood pressure, systolic, and/or diastolic blood pressure ≥140/90 mmHg. Estimates are age-standardized.","Hypertension is strongly associated with diets high in salt, processed foods, and low in fruits and vegetables, reflecting imbalances in food availability and consumption patterns. It highlights gaps in food systems that fail to support healthy dietary choices, and underscores the need for interventions promoting affordable access to diverse, nutrient-rich foods and healthier food environments.",%,National & city,"STEPS survey, MoH",,2015-2021,5 years,Not available at province/city level,Ky Hoang,Open,,,
34,,,x,,Food Safety,Food poisoning ,No. of food poinsoning cases,"Food poisoning reflects the safety dimension of the food system, indicating failures in food handling, storage, processing, and regulation. It directly affects consumer trust and the utilization of available food, and can limit access to safe and nutritious diets. Ensuring food safety is essential for achieving sustainable and reliable food systems, particularly in informal markets common in low- and middle-income settings.",Number,City,MoH,,2012-2020,Annually,,Ky Hoang,Open,,,
,,,,,Food Safety,Water & Air Quality,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,,Proposed,
,,,,,Food Environments,Active Urban Mobility,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,,Proposed,
,,,,,Food Flows & Supply Chains,Area preforming urban agriculture,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,,Proposed,
,,,,,,School feeding & Social Safety Nets,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
