Pillar,Year,Quarter,Index,SOS,Residual
3,2021,1,1.707366011,1.682054035,0.025311976
3,2020,4,1.784939678,1.685504139,0.099435539
3,2020,3,1.672909218,1.688954243,-0.016045025
3,2020,2,1.581314543,1.692404347,-0.111089805
3,2020,1,1.55117048,1.695854451,-0.144683972
3,2019,4,1.779602157,1.699304555,0.080297602
3,2019,3,1.763258012,1.702754659,0.060503353
3,2019,2,1.728904279,1.706204763,0.022699516
3,2019,1,1.584134093,1.709654867,-0.125520775
3,2018,4,1.560034057,1.713104971,-0.153070914
3,2018,3,1.561092297,1.716555075,-0.155462778
3,2018,2,1.746637211,1.72000518,0.026632031
3,2018,1,1.661913988,1.723455284,-0.061541295
3,2017,4,1.581128599,1.726905388,-0.145776789
3,2017,3,1.606178069,1.730355492,-0.124177423
3,2017,2,1.620659686,1.733805596,-0.11314591
3,2017,1,1.65690161,1.7372557,-0.08035409
3,2016,4,1.904239767,1.740705804,0.163533963
3,2016,3,1.537794274,1.744155908,-0.206361634
3,2016,2,1.890859284,1.747606012,0.143253272
3,2016,1,1.784753612,1.751056116,0.033697496
3,2015,4,1.929856931,1.75450622,0.175350711
3,2015,3,1.907733912,1.757956324,0.149777588
3,2015,2,1.83723695,1.761406428,0.075830522
3,2015,1,1.854742334,1.764856532,0.089885802
3,2014,4,1.842336315,1.768306636,0.074029679
3,2014,3,1.857955607,1.77175674,0.086198867
3,2014,2,1.859286593,1.775206844,0.084079749
3,2014,1,1.650170844,1.778656948,-0.128486104
