Organisation Name,Stakeholder catagorization ,Area of Activity in the food system
Vietnam Standards and Quality Association (viết tắt là VINASTAQ),Civil society,Institutional elements
Vietnam Street Food Association,Civil society,National market
Vietnam Women's Union (VWU),Civil society,Organizational elements
Vissan Limited Company,Private sector,National market
VNU University of Science,Academia and knowledge-based organizations,Service provision
VTC16,Media,Sociocultural element
World Bank (WB),International community,Finance
World Health Organization (WHO),International community,Institutional elements
World Vision International Vietnam,International community,Service provision
World Wide Fund For Nature (WWF),International community,Service provision
Sustainable Food Systems Ireland in Vietnam,International community,Service provision
"Sustainable Healthy Diets through Food Systems Transformation (SHiFT) (CGIAR, Alliance)",International community,Service provision
,,
